,id,period,text,homeAway,scoringPlay,athlete,coordinate,shootingPlay,type,isFreeThrow,x,y,clck,prd,awyScr,hmScr,txt,tm,sq,plyTypId,scrng
0,4008285092,"{'number': 1, 'displayValue': '1st Quarter'}",Andrew Bogut makes two point shot (Stephen Curry assists),away,True,"{'id': '2747', 'name': 'Andrew Bogut'}","{'x': 25, 'y': 0}",True,"{'id': '118', 'txt': 'Alley Oop Dunk Shot'}",,25,0,11:42,1,2,0,Andrew Bogut makes two point shot (Stephen Curry assists),9,2,118,True
1,4008285093,"{'number': 1, 'displayValue': '1st Quarter'}",LeBron James makes two point shot (Kevin Love assists),home,True,"{'id': '1966', 'name': 'LeBron James'}","{'x': 24, 'y': 1}",True,"{'id': '126', 'txt': 'Layup Driving Reverse'}",,24,1,11:15,1,2,2,LeBron James makes two point shot (Kevin Love assists),5,3,126,True
2,4008285094,"{'number': 1, 'displayValue': '1st Quarter'}",Stephen Curry makes 28-foot  three point jumper ,away,True,"{'id': '3975', 'name': 'Stephen Curry'}","{'x': 13, 'y': 25}",True,"{'id': '92', 'txt': 'Jump Shot'}",,13,25,11:03,1,5,2,Stephen Curry makes 28-foot  three point jumper ,9,4,92,True
3,4008285095,"{'number': 1, 'displayValue': '1st Quarter'}",Kyrie Irving  misses driving layup,home,,"{'id': '6442', 'name': 'Kyrie Irving'}","{'x': 24, 'y': 2}",True,"{'id': '110', 'txt': 'Driving Layup Shot'}",,24,2,10:40,1,5,2,Kyrie Irving  misses driving layup,5,5,110,
4,4008285097,"{'number': 1, 'displayValue': '1st Quarter'}",Klay Thompson makes 19-foot two point shot,away,True,"{'id': '6475', 'name': 'Klay Thompson'}","{'x': 11, 'y': 12}",True,"{'id': '131', 'txt': 'Pullup Jump Shot'}",,11,12,10:27,1,7,2,Klay Thompson makes 19-foot two point shot,9,7,131,True
5,4008285098,"{'number': 1, 'displayValue': '1st Quarter'}",Kevin Love  misses 22-foot jumper,home,,"{'id': '3449', 'name': 'Kevin Love'}","{'x': 23, 'y': 22}",True,"{'id': '92', 'txt': 'Jump Shot'}",,23,22,10:17,1,7,2,Kevin Love  misses 22-foot jumper,5,8,92,
6,40082850910,"{'number': 1, 'displayValue': '1st Quarter'}",Klay Thompson makes 24-foot  three point jumper  (Draymond Green assists),away,True,"{'id': '6475', 'name': 'Klay Thompson'}","{'x': 42, 'y': 18}",True,"{'id': '92', 'txt': 'Jump Shot'}",,42,18,10:10,1,10,2,Klay Thompson makes 24-foot  three point jumper  (Draymond Green assists),9,10,92,True
7,40082850916,"{'number': 1, 'displayValue': '1st Quarter'}",Stephen Curry makes two point shot,away,True,"{'id': '3975', 'name': 'Stephen Curry'}","{'x': 23, 'y': 0}",True,"{'id': '109', 'txt': 'Running Layup Shot'}",,23,0,9:48,1,12,2,Stephen Curry makes two point shot,9,16,109,True
8,40082850917,"{'number': 1, 'displayValue': '1st Quarter'}",Kyrie Irving  misses two point shot,home,,"{'id': '6442', 'name': 'Kyrie Irving'}","{'x': 25, 'y': 5}",True,"{'id': '130', 'txt': 'Floating Jump Shot'}",,25,5,9:33,1,12,2,Kyrie Irving  misses two point shot,5,17,130,
9,40082850919,"{'number': 1, 'displayValue': '1st Quarter'}",Klay Thompson  misses 24-foot three point jumper ,away,,"{'id': '6475', 'name': 'Klay Thompson'}","{'x': 23, 'y': 24}",True,"{'id': '92', 'txt': 'Jump Shot'}",,23,24,9:22,1,12,2,Klay Thompson  misses 24-foot three point jumper ,9,19,92,
